method,project,repo_name,total_vars,overall_score,overall_score_wo_missing,overall_score_exact,overall_score_wo_missing_exact,missing_ratio,depth_1_score,depth_2_score,depth_3_score,depth_4_score,depth_5_score,depth_1_score_exact,depth_2_score_exact,depth_3_score_exact,depth_4_score_exact,depth_5_score_exact,repo_a_consistency,repo_b_consistency,lower_than_5_average,lower_than_10_average,lower_than_5_average_exact,lower_than_10_average_exact,builtin_num,builtin_average,builtin_average_exact,container_num,container_average,container_average_exact,union_num,union_average,union_average_exact,others_num,others_average,others_average_exact,userDef_num,userDef_average,userDef_average_exact
LaRY,flask,flask,496,0.9217,0.9406,0.869,0.8868,0.0202,0.9549,0.8733,0.717,0.875,,0.9438,0.8015,0.1739,0.75,,0,0,0.8491,0.8527,0.7417,0.7494,187,0.9604,0.9412,4,0.8958,0.75,121,0.8463,0.6777,9,0.7578,0.6667,175,0.9414,0.9371
LaRY,jinja2,jinja2,1251,0.8402,0.8581,0.7722,0.7886,0.0208,0.8696,0.7633,0.7824,0.5437,0.6944,0.844,0.6321,0.4138,0.0,0.2857,0,0,0.7568,0.7544,0.6389,0.6308,456,0.8575,0.8004,43,0.6738,0.4884,222,0.7909,0.6216,32,0.7551,0.5,498,0.8662,0.8554
LaRY,click,click,1003,0.8812,0.8937,0.8305,0.8423,0.014,0.9109,0.8447,0.7548,0.8958,0.8885,0.9042,0.7468,0.5,0.75,0.0,0,0,0.7727,0.7667,0.591,0.5934,398,0.9358,0.9171,42,0.8046,0.5476,256,0.8272,0.7109,60,0.6148,0.6,247,0.9271,0.919
LaRY,black,black,763,0.9097,0.9169,0.8663,0.8732,0.0079,0.9565,0.8289,0.6645,,,0.9519,0.7039,0.4773,,,0,0,0.7845,0.7759,0.6378,0.6349,398,0.9551,0.9095,25,0.8655,0.68,44,0.8228,0.7273,77,0.7867,0.7273,219,0.893,0.8858
LaRY,pre_commit,pre_commit,818,0.9249,0.9318,0.8863,0.8929,0.0073,0.945,0.8883,0.803,,,0.9288,0.8034,0.6818,,,0,0,0.7502,0.7806,0.6517,0.6893,510,0.9249,0.8863,110,0.8979,0.8455,55,0.914,0.8364,17,0.8137,0.7059,126,0.9683,0.9683
LaRY,werkzeug,werkzeug,1546,0.8909,0.9043,0.8202,0.8326,0.0149,0.9364,0.8286,0.7273,0.6851,0.6756,0.9247,0.6967,0.4082,0.2222,0.1111,0,0,0.7338,0.7376,0.4792,0.497,706,0.9311,0.9093,81,0.67,0.4321,345,0.8365,0.6464,48,0.7961,0.7083,366,0.9256,0.9126
LaRY,pre_commit_hooks,pre_commit_hooks,255,0.9421,0.9571,0.9176,0.9323,0.0157,0.9539,0.8699,0.9784,,,0.9529,0.766,0.9474,,,0,0,0.8756,0.8744,0.775,0.774,174,0.9414,0.9138,9,0.8426,0.7778,41,0.9756,0.9756,8,0.9792,0.875,23,0.913,0.913
LaRY,flake8,flake8,382,0.9231,0.9304,0.8691,0.876,0.0079,0.9654,0.8252,0.8706,1.0,,0.9615,0.6923,0.5294,1.0,,0,0,0.8904,0.8765,0.7896,0.7581,182,0.9195,0.8736,21,0.9011,0.7619,58,0.8739,0.7414,7,0.9524,0.7143,114,0.9561,0.9561
LaRY,fastapi,fastapi,1527,0.8278,0.8438,0.7485,0.763,0.019,0.9195,0.7933,0.6832,0.92,0.6146,0.9185,0.739,0.4737,0.4,0.125,0,0,0.6848,0.694,0.4364,0.4624,411,0.9267,0.9027,18,0.5226,0.2222,931,0.7948,0.6831,25,0.5933,0.52,142,0.838,0.838
LaRY,rich,rich,1700,0.9098,0.9312,0.8753,0.8958,0.0229,0.9395,0.8185,0.6602,0.75,,0.93,0.7111,0.4348,0.0,,0,0,0.7846,0.7763,0.6432,0.6396,717,0.9391,0.9191,42,0.637,0.3571,301,0.8385,0.7475,14,0.6273,0.4286,626,0.9352,0.9313
LaRY,typer,typer,518,0.8868,0.8972,0.8012,0.8105,0.0116,0.9096,0.8509,0.8527,0.0,,0.8848,0.6993,0.4706,0.0,,0,0,0.7105,0.7259,0.5805,0.5795,228,0.9337,0.8816,12,0.6336,0.5833,159,0.8629,0.6667,4,1.0,1.0,115,0.8493,0.8435
LaRY,urllib3,urllib3,1108,0.8558,0.8788,0.7717,0.7924,0.0262,0.9027,0.8045,0.7422,0.2116,,0.8795,0.6481,0.431,0.125,,0,0,0.7374,0.7284,0.5048,0.5075,428,0.9114,0.8925,4,0.8375,0.5,410,0.7927,0.6171,16,0.593,0.4375,250,0.8812,0.844
