name,append_edge_num,depTime,done_num,duration,infTime,iteration_num,lastTryTime,mypy_num,mypy_times,repairTime,round_1_errors,round_2_errors,round_3_errors,round_4_errors,unresolved_errors
pre_commit_hooks,69,0.36599999999999966,163,1184.3439999999998,462.51000000000005,8,84.44,228,691.4149999999997,145.933,17,11,10,10,1
flake8,701,4.359999999999985,498,2954.96,1119.929,62,46.459,486,1302.277,141.68599999999995,38,5,3,3,2
flask,609,4.174000000000026,630,6360.996999999999,3023.010999999999,37,62.76,638,3504.356000000002,425.034,45,14,12,9,5
click,863,13.418000000000015,879,7499.901,2201.2490000000003,54,310.06299999999993,1046,3068.962999999998,587.6910000000004,96,42,27,22,15
fastapi,541,5.561000000000002,767,21127.306000000004,10272.686000000002,51,2847.727,1011,15477.078000000009,2373.336,81,31,19,16,12
urllib3,1344,12.82399999999998,1118,10681.114000000003,3147.654000000001,72,730.4839999999999,1512,4784.925999999996,934.5240000000003,133,63,49,44,25
black,347,7.172000000000018,681,11604.219,6572.880000000002,46,378.463,785,7914.555999999996,979.6129999999998,62,9,8,7,7
pre_commit,398,3.120000000000008,580,4619.723999999999,1977.129,31,86.426,668,2388.4860000000012,330.12699999999995,63,12,7,7,7
typer,440,3.0729999999999986,441,8162.707999999999,4393.969,40,463.612,523,5621.188999999996,771.1360000000001,34,13,12,9,9
rich,1705,36.49499999999989,1980,41770.32599999999,18989.674000000006,94,3178.1089999999995,2587,28135.957000000017,6038.610000000001,314,110,80,69,33
jinja2,2031,35.42400000000005,1495,16784.076,5091.552000000004,110,943.367,2355,8769.308000000014,2831.8089999999984,386,156,95,81,31
werkzeug,2077,14.447999999999965,1964,21221.97999999999,8469.159,38,1289.8700000000001,2289,11322.745000000008,1680.4230000000002,185,66,54,42,18
