name,file_count,function_count,total_lines,total_tokens,global_var,parameter,local_var,attribute
flake8,33,210,2848,18452,96,419,236,44
flask,24,369,5645,27134,110,852,327,84
click,16,526,6628,39319,90,1313,578,55
fastapi,44,229,3742,35485,137,1521,312,283
urllib3,36,492,6750,41774,199,1262,520,188
black,25,393,6875,54479,124,771,971,142
pre_commit,66,352,3816,34709,236,704,573,40
typer,16,164,2156,21653,133,828,309,25
rich,78,901,12819,115536,372,2496,1576,253
jinja2,25,743,9074,57431,166,1765,797,313
werkzeug,52,1113,13622,77033,161,2405,1049,383
pre_commit_hooks,35,105,1501,11672,62,145,332,19
